file,transcription,total_seconds
00010.mp3,já é uma sorte que você é poupado de um acidente,7.97
00076.mp3,Esquadrão da Morte jogo do bicho máfia do apito neonazistas carecas do ABC vampiros,9.19
00083.mp3,marxia nervosa bulimia perodica alimentar a compulsão vigorexia ortorexia distúrbios,9.91
00084.mp3,duas mulheres em uma menina levantam com troféus,6.32
00092.mp3,mesa de sinuca no par,6.33
00103.mp3,aqui flutuação escoamentos máquinas hidráulicas hidráulica realizou aristotélico vácuo,9.9
00105.mp3,de disfunção sexual erétil ejaculação precoce vaginismo disparonia hipersexualidade angasmia aversão ao sexo,9.91
00120.mp3,somale Húngaro casak Zulu Criolo haitiano sueco oigur oigures,9.45
00158.mp3,o ser humano é naturalmente egoísta e altruísta mas o capitalismo favorece o primeiro,9.22
00161.mp3,todos os julgamentos dos órgãos do Poder Judiciário serão públicos,5.33
00184.mp3,produção agrária Nacional particularmente daqueles artigos de consumo interno,6.32
00309.mp3,rubredoxina ferredoxina citocromos azurina Eon inciderófros emo mioglobina emocianina emeritrina,10.14
00326.mp3,acoplamento Nio magnésio clorobezoato benzoico acetila cetonato hidrolizar estile,10.04
00331.mp3,Existe alguma previsão de aumento do salário mínimo diante dessa inflação galopante,7.36
00379.mp3,macro lótuscript coreuscript quickscript sax Basic Word Basic Win Wap del,9.51
00411.mp3,vapo Juju amoitar armengado avechado azoado barril abestalhado,9.83
00415.mp3,métrico decimal poliedro polígonos poliedro estrelado poligonal pro segmento elemento segmentos polígonos circunscrito,9.45
00446.mp3,o Executivo anunciou alguns passos que a empresa está tomando rumo à redução,9.59
00484.mp3,será necessário apresentar a relação das Lendas que se querem escrever em valiciano,9.67
00496.mp3,o tratamento de pacientes foi realizado com sucesso,6.57
00591.mp3,o mesmo argumento é para a terceira inscrição que reflete o legado do registrante,9.12
00642.mp3,polipropileno policloreto de vinila quantificado inteperismo fragmente microplástica macro,10.34
00708.mp3,mas se você fugir Faremos o mesmo,5.35
00710.mp3,mas ela não tem objeção para alguém abraçar qualquer religião,8.13
00800.mp3,éversíveis irreversíveis nebulosos galáxias de invólucro UCA cúbicos repouso não dinâmico,10.2
00835.mp3,em outras palavras a empresa consome no momento do empréstimo sobre seus recursos,7.08
01014.mp3,pleitear direito alheio em nome próprio salvo,6.21
01073.mp3,a memória do projeto de classificação fala de servidões renováveis,10.03
01193.mp3,selecione produtos para preparar calorias e próteses relacionando as características ao objetivo estabelecido,10.2
01318.mp3,a 1000 Bobs café Granado Friburgo Cinemax Cisper Condor da Alegria,9.9
01329.mp3,a parte das despesas executadas fora deste período não está sujeita a subsídio,10.02
01344.mp3,ornamentais hematite metalurgia cobre ligas fusão dureza flexibilidade,9.57
01558.mp3,na realidade não é necessário usar outra forma porque podemos usar a anterior,8.81
01567.mp3,você deve ver que a pasta é consistente embora quando legal tenha muita repercussão,9.29
01582.mp3,para ser um comerciante você precisa de uma família,5.72
01688.mp3,mais cedo ou mais tarde eles descobriram Como ler esses grof,9.08
01724.mp3,Procurador Geral sucumbência vencida decorrentes súmula extrato resumo compêndio reiteradas exaradas versando,10.13
01725.mp3,de Formação finitas finitos Contorno hidrostática hidrodinâmica massa volumica viscosidade reológicas,9.38
01800.mp3,a acetoxia acrilo assilo acetilo hélio berililo boro carbono flúor neônio magnésio argônio potássio,9.44
01831.mp3,é comum os usuários confundirem software livre com software Livre,7.12
01895.mp3,nitroso nitrila Isla nitrila sulforadas tiol tio hétero de sulfeto sulfóxido sulfona sulfonato,10.02
01962.mp3,Canhotinho,5.93
01996.mp3,em relação às vozes solistas os trabalhos correspondem aos principais personagens da obra,9.15
02121.mp3,nem a casa do senhor sabe respeito,7.19
02270.mp3,os contratos subscritos não se tornarão indefinidos,7.34
02334.mp3,pinta pintar a macaca piolhento pipoca pirandelo fininho pirar Pirituba pisante,9.88
02462.mp3,dentro da unidade a grande contraste interno devido à heterogeneidade dos elementos,9.21
02845.mp3,durante a exposição o tribunal pode fazer quaisquer perguntas ou esclarecimentos que considere apropriado,9.43
02888.mp3,evitem aprovar sentenças de cunho sexista partidário intolerante ou com erros gramaticais e ortográficos,9.63
02964.mp3,a valência language Academy poderá verificar a qualquer momento os dados declarados pelos candidatos,8.25
03078.mp3,O objetivo dessa ordem é regular a estrutura dos programas didáticos na educação básica,9.29
03382.mp3,se as cópias fornecidas Não corresponderem elas não serão consideradas,7.85
03383.mp3,as funções de conselho supervisão e correção que os estatutos reservam a sua autoridade,8.9
03469.mp3,chuveiro toalha torneira pia bucha e sabonete,7.21
03489.mp3,os orientaremos sobre maternidade e paternidade,5.94
03570.mp3,eles são como Pardais Que enchem os espaços e gostam das Flores da terra,8.62
03622.mp3,uma mulher vestindo uma jaqueta preta está andando na calçada,5.81
03639.mp3,a educação física biologia medicina psicologia direito Ciências Sociais e estatística,10.12
03704.mp3,atividades que promovem pesquisa conservação e disseminação do patrimônio etnológico da Catalunha,9.44
03718.mp3,dê a esta série atual uma classificação de um,8.67
03735.mp3,se você a tivesse visto três dias antes teria sido infectada também,7.82
03745.mp3,vir juntos significa viver juntos compartilhar objetivos ter um bom relacionamento,9.01
03902.mp3,atribuir aos centros listados no anexo ou os auxílios econômicos que são indicados,8.06
04117.mp3,a água que coleta as partes externas externas também é derramada no solo adjacente,8.42
04154.mp3,boletim de instalação elétrica com validade anual da parada ou atração se aplicável,9.5
04162.mp3,ou ver necessidade de realização de diligência ou de complementação da instrução,9.13
04243.mp3,integral interpolação consecutivos sucessão intersecção conjuntos propriedades intervalo,10.42
04319.mp3,Juatuba,3.48
04596.mp3,o documento ambiental apresenta duas alternativas a escolhida e alternativa zero,8.82
04674.mp3,logo porém o círculo de novas ideias é mais ou menos roteado,7.7
04684.mp3,ele fez tanto Ghost righting que ele começou a se sentir como um fantasma também,8.07
04757.mp3,portanto uma forte política linguística seria aceitável para a maioria da população,7.5
05217.mp3,em qualquer caso a junta na Assembleia por unanimidade pode determinar outro critério,9.03
05299.mp3,inicialize mais rápido,6.8
05384.mp3,bem instituição que é completamente inalterada impessoal é o fóssil,6.82
05641.mp3,antes de São Martim vipão e Vinho depois do verão fome e frio,8.12
05722.mp3,galaico português bética flexiva reconquista e livre das Flores lacio sonito pluralismo,9.24
05788.mp3,permutações perpendicular perpendiculares interceptam peso perímetro área volume pictograma pirâmide,9.62
05855.mp3,a soft catalá contribui para a tradução em Catalão de materiais no site da campanha,9.39
05879.mp3,podediante Valente de maçã Barros brócolis bolos Turquia fria calão guter,9.8
05880.mp3,é sonha pictograma entropia que alantes microfiltração e o degradação herbicidase extremófilos,9.82
06198.mp3,caçada fundamentado agilizada taxa contribuição das diversão simultâneivamente patrocina,10.41
06201.mp3,hepatite cédulas a costa piodisponibilidade zumbido de sació Bahia vida Cadu tossicos,9.74
06257.mp3,todo brasileiro em situação de vulnerabilidade social terá direito a uma renda básica familiar,8.69
06344.mp3,o ponto é que dura no tempo,4.3
06502.mp3,portanto é necessário estabelecer medidas corretivas que permitam mitigar esse possível impacto,9.29
06698.mp3,qualquer outro que fosse legalmente possível e que não tivesse um caráter comum,9.2
07009.mp3,da mesma forma uma patente pode impedir que concorrentes desenvolva produtos similares,9.29
07499.mp3,reconhece as disfunções comportamentais analisando os princípios básicos da Psicologia geral,9.36
07692.mp3,ele geralmente recebe visitas de intérpretes diretores e produtores de renome internacional,8.82
07702.mp3,encefalopatia bilrubínica endométrio endometriose eritrócitos escara hemácias escarlatina fêmur,9.88
07960.mp3,a forma de prestação será a competição por mérito reservada aos oficiais nacionais qualificados,9.42
08254.mp3,aceso todos saúdam frescos piedosos alegres livres,9.26
08278.mp3,um menininha pulos corda através lote estacionamento,8.52
08606.mp3,quadrilátero mágico quadrante delimitada quadrante esquadricelular quadrido quadriênio quadrilátero,10.36
08771.mp3,gerencie as configurações de segurança do usuário e supervisionio,8.22
09190.mp3,deliberação publicação veredito abstenção costumes aplicável observância discricionária,9.84
09196.mp3,agorafobia Pânico generalizada social obsessivo compulsivo reação aguda adaptação distorciativo,9.67
09345.mp3,Eletrobrás for na assembleiano Guanabara,10.14
09407.mp3,crocodilagem crocô curriola tança de rato darmilho Pinote vacilar pla picote uma banda,10.04
